fra;jour;clage_90;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;2020-03-20;0;0;0.893987997764136;12.7169792681948;2.68196399329241;14.0236917249267;2.82202211294212
FR;2020-03-20;0;1;;0;0;0;0
FR;2020-03-20;0;2;;0;0;0;0
FR;2020-03-21;0;0;1.0876853972797;14.3276476441666;3.04700909237943;15.828057500414;3.24368645188754
FR;2020-03-21;0;1;;0;0;0;0
FR;2020-03-21;0;2;;0;0;0;0
FR;2020-03-22;0;0;1.33502207666111;15.9576857600898;3.43291391141428;17.8097308954579;3.70856021072489
FR;2020-03-22;0;1;;0;0;0;0
FR;2020-03-22;0;2;;0;0;0;0
FR;2020-03-23;0;0;1.59725855600526;18.4712820138033;4.01996602994607;21.312673866697;4.51612936870516
FR;2020-03-23;0;1;;0;0;0;0
FR;2020-03-23;0;2;;0;0;0;0
FR;2020-03-24;0;0;1.86992489532332;20.8761097277889;4.50718948872752;24.171945479546;5.15980072709534
FR;2020-03-24;0;1;;0;0;0;0
FR;2020-03-24;0;2;;0;0;0;0
FR;2020-03-25;0;0;2.23794995440289;23.4448352413645;5.12404120718477;27.4573513713292;5.87648110530292
FR;2020-03-25;0;1;;0;0;0;0
FR;2020-03-25;0;2;;0;0;0;0
FR;2020-03-26;0;0;2.60448503348618;25.8943623552382;5.59636486600349;30.6906079632428;6.60061138349187
FR;2020-03-26;0;1;;0;0;0;0
FR;2020-03-26;0;2;;0;0;0;0
FR;2020-03-27;0;0;3.01720949245396;28.5480167286014;6.0522987448632;34.4408876138633;7.37242102156157
FR;2020-03-27;0;1;;0;0;0;0
FR;2020-03-27;0;2;;0;0;0;0
FR;2020-03-28;0;0;3.42695399142919;30.2898033442452;6.42479374393159;36.5134497886799;7.95202324011199
FR;2020-03-28;0;1;;0;0;0;0
FR;2020-03-28;0;2;;0;0;0;0
FR;2020-03-29;0;0;3.71303015071371;31.2016711019646;6.65276068336145;38.453403743828;8.48394609878165
FR;2020-03-29;0;1;;0;0;0;0
FR;2020-03-29;0;2;;0;0;0;0
FR;2020-03-30;0;0;4.09893496974856;32.0390398598704;6.73321960316022;41.9697565350336;9.24979581686626
FR;2020-03-30;0;1;;0;0;0;0
FR;2020-03-30;0;2;;0;0;0;0
FR;2020-03-31;0;0;4.45504018885794;32.745290378104;6.86731780282484;43.9037505701967;9.86664753532351
FR;2020-03-31;0;1;;0;0;0;0
FR;2020-03-31;0;2;;0;0;0;0
FR;2020-04-01;0;0;4.77985582804558;32.7810498980146;6.80026870299253;45.7468558255871;10.3017216942354
FR;2020-04-01;0;1;;0;0;0;0
FR;2020-04-01;0;2;;0;0;0;0
FR;2020-04-02;0;0;5.01974260744562;32.2729667192853;6.55591198360366;47.0297286023786;10.6071675934715
FR;2020-04-02;0;1;;0;0;0;0
FR;2020-04-02;0;2;;0;0;0;0
FR;2020-04-03;0;0;5.30134882674133;31.0958825222292;6.24152620438994;48.567387958533;10.8798339327895
FR;2020-04-03;0;1;;0;0;0;0
FR;2020-04-03;0;2;;0;0;0;0
FR;2020-04-04;0;0;5.41458730645812;30.0737562447855;5.87946106529547;48.1621133995466;10.8545042728529
FR;2020-04-04;0;1;;0;0;0;0
FR;2020-04-04;0;2;;0;0;0;0
FR;2020-04-05;0;0;5.61126466596623;28.698504708225;5.49951616624571;48.2962115992112;10.8977136927448
FR;2020-04-05;0;1;;0;0;0;0
FR;2020-04-05;0;2;;0;0;0;0
FR;2020-04-06;0;0;5.63808430589915;27.4201018714223;5.08977166727048;50.4417827938451;11.0988609922417
FR;2020-04-06;0;1;;0;0;0;0
FR;2020-04-06;0;2;;0;0;0;0
FR;2020-04-07;0;0;5.57848510604821;26.0791198747761;4.62936784842195;49.88006033525;10.9930724125063
FR;2020-04-07;0;1;;0;0;0;0
FR;2020-04-07;0;2;;0;0;0;0
FR;2020-04-08;0;0;5.40117748649165;24.5504003985995;4.18386382953616;49.5761044160102;10.8410944528864
FR;2020-04-08;0;1;;0;0;0;0
FR;2020-04-08;0;2;;0;0;0;0
FR;2020-04-09;0;0;5.36094802659227;23.6132029809434;3.84265841038951;49.5999440959505;10.6608068733373
FR;2020-04-09;0;1;;0;0;0;0
FR;2020-04-09;0;2;;0;0;0;0
FR;2020-04-10;0;0;5.17470052705807;22.3318201841481;3.47016341132112;49.5671645360325;10.4015503539857
FR;2020-04-10;0;1;;0;0;0;0
FR;2020-04-10;0;2;;0;0;0;0
FR;2020-04-11;0;0;5.09871154724812;21.388662846507;3.21537683195834;48.458619418805;10.0320353149099
FR;2020-04-11;0;1;;0;0;0;0
FR;2020-04-11;0;2;;0;0;0;0
FR;2020-04-12;0;0;4.87223458781454;21.1308963071516;3.07978865229745;48.4645793387901;9.9351866151521
FR;2020-04-12;0;1;;0;0;0;0
FR;2020-04-12;0;2;;0;0;0;0
FR;2020-04-13;0;0;4.69492696825799;19.1134633921972;2.75795297310236;48.8683639177802;9.88601727527507
FR;2020-04-13;0;1;;0;0;0;0
FR;2020-04-13;0;2;;0;0;0;0
FR;2020-04-14;0;0;4.6040381884853;18.0436577548728;2.56723553357934;49.7906615354736;9.85770765534587
FR;2020-04-14;0;1;;0;0;0;0
FR;2020-04-14;0;2;;0;0;0;0
FR;2020-04-15;0;0;4.58317846853747;17.2092689569596;2.42121749394454;48.4526594988199;9.45243309635946
FR;2020-04-15;0;1;;0;0;0;0
FR;2020-04-15;0;2;;0;0;0;0
FR;2020-04-16;0;0;4.39842094899955;16.1752228395458;2.31393893421284;47.5497316210781;9.1574170570973
FR;2020-04-16;0;1;;0;0;0;0
FR;2020-04-16;0;2;;0;0;0;0
FR;2020-04-17;0;0;4.32541192918214;15.3944733214984;2.18282069454077;46.9999290024532;8.74469259812952
FR;2020-04-17;0;1;;0;0;0;0
FR;2020-04-17;0;2;;0;0;0;0
FR;2020-04-18;0;0;4.15853416959951;14.5258149836709;2.13365135466374;45.2059930869398;8.32451823918038
FR;2020-04-18;0;1;;0;0;0;0
FR;2020-04-18;0;2;;0;0;0;0
FR;2020-04-19;0;0;4.03933576989762;13.6824863057801;1.98316337504011;44.8513778478267;8.20829979947104
FR;2020-04-19;0;1;;0;0;0;0
FR;2020-04-19;0;2;;0;0;0;0
FR;2020-04-20;0;0;3.90374759023673;13.7569853055938;1.9384639751519;45.7617556255498;8.21276973945986
FR;2020-04-20;0;1;;0;0;0;0
FR;2020-04-20;0;2;;0;0;0;0
FR;2020-04-21;0;0;3.71750009070253;13.1386436071403;1.78350605553945;44.5965912684639;7.77620560055171
FR;2020-04-21;0;1;;0;0;0;0
FR;2020-04-21;0;2;;0;0;0;0
FR;2020-04-22;0;0;3.5223127111907;12.2580654293426;1.70006717574813;43.6072445509383;7.45734988134917
FR;2020-04-22;0;1;;0;0;0;0
FR;2020-04-22;0;2;;0;0;0;0
FR;2020-04-23;0;0;3.38076461154471;11.3685473715673;1.53914933615059;42.76689583304;7.16084386209073
FR;2020-04-23;0;1;;0;0;0;0
FR;2020-04-23;0;2;;0;0;0;0
FR;2020-04-24;0;0;3.16471751208504;10.4015503539857;1.46912027632573;41.8267184553914;6.8524180028621
FR;2020-04-24;0;1;;0;0;0;0
FR;2020-04-24;0;2;;0;0;0;0
